Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
PXI,PowerShares Exchange-Traded Fund Trust,41.7,0.17604,0.4177,12/16/16,12/30/16
PY,Principal Exchange-Traded Funds,29.05,0.632,2.1937,12/28/16,1/4/17
PYZ,PowerShares Exchange-Traded Fund Trust,64.04,1.4316,2.24,12/16/16,12/30/16
PZZA,Papa John's International Inc.,86.01,0.8,0.9259,2/2/17,2/17/17
QABA,First Trust Exchange-Traded Fund,53.36,0.6336,1.1867,12/21/16,12/30/16
QADA,QAD Inc.,29.2,0.288,0.9813,12/22/16,1/5/17
QADB,QAD Inc.,25,0.24,0.96,12/22/16,1/5/17
QCLN,First Trust Exchange-Traded Fund,16.74,0.06,0.3612,12/21/16,12/30/16
QCOM,QUALCOMM Incorporated,56.46,2.12,3.7271,11/28/16,12/16/16
QCRH,QCR Holdings Inc.,44.9,0.16,0.3632,12/21/16,1/6/17
QINC,First Trust Exchange-Traded Fund VI,23.41,0.822,3.5226,12/21/16,12/30/16
QLC,FlexShares Trust,29.2196,0.67744,2.3184,12/22/16,12/29/16
QQEW,First Trust Exchange-Traded Fund,50.71,0.308,0.6104,12/21/16,12/30/16
QQQ,PowerShares QQQ Trust Series 1,129.81,1.41976,1.0985,12/16/16,12/30/16
QQQC,Global X Funds,23.411,0.960541,4.0615,12/28/16,1/6/17
QQXT,First Trust Exchange-Traded Fund,44.005,0.1916,0.4373,12/21/16,12/30/16
QTEC,First Trust Exchange-Traded Fund,58.49,0.4176,0.7162,12/21/16,12/30/16
QYLD,Recon Capital Series Trust,23.14,1.53012,6.6325,1/25/17,1/31/17
RAIL,Freightcar America Inc.,14.62,0.36,2.4948,2/14/17,2/22/17
RAVN,Raven Industries Inc.,29.1,0.52,1.9083,1/4/17,1/20/17
RBCAA,Republic Bancorp Inc.,36.06,0.836,2.3352,12/14/16,1/20/17
RCII,Rent-A-Center Inc.,8.2,0.32,3.7825,1/3/17,1/26/17
RCKY,Rocky Brands Inc.,11.05,0.44,3.9819,11/23/16,12/9/16
RDVY,First Trust Exchange-Traded Fund VI,26.39,0.3452,1.3091,12/21/16,12/30/16
RECN,Resources Connection Inc.,16.9,0.44,2.5959,2/14/17,3/16/17
REIS,Reis Inc,21.1,0.68,3.2381,12/5/16,12/14/16
RELL,Richardson Electronics Ltd.,6.21,0.24,3.8772,2/3/17,2/24/17
RFAP,First Trust Exchange-Traded Fund III,54.37,3.492,6.4303,12/21/16,12/30/16
RFDI,First Trust Exchange-Traded Fund III,54.6531,1.0864,1.9847,12/21/16,12/30/16
RFEM,First Trust Exchange-Traded Fund III,58.9099,5.694,9.6247,12/21/16,12/30/16
RFEU,First Trust Exchange-Traded Fund III,54.26,3.3364,6.1006,12/21/16,12/30/16
RFIL,RF Industries Ltd.,1.5,0.08,5.3333,12/28/16,1/17/17
RGCO,RGC Resources Inc.,25.5383,0.87,3.3565,1/12/17,2/1/17
RGLD,Royal Gold Inc.,69.95,0.96,1.3466,1/4/17,1/20/17
RICK,RCI Hospitality Holdings Inc.,17.3,0.12,0.6969,12/8/16,12/27/16
RMCF,Rocky Mountain Chocolate Factory Inc.,11.43,0.48,4.1962,11/22/16,12/9/16
RMR,The RMR Group Inc.,51.25,1,1.9704,1/19/17,2/21/17
RNST,Renasant Corporation,41.07,0.72,1.7561,12/12/16,1/1/17
ROBO,Exchange Traded Concepts Trust,31.6,0.054872,0.1744,12/20/16,12/23/16
ROIC,Retail Opportunity Investments Corp.,20.99,0.72,3.4204,12/13/16,12/29/16
ROST,Ross Stores Inc.,68.55,0.54,0.7911,12/5/16,12/30/16
RRR,Red Rock Resorts Inc.,23.37,0.4,1.7021,11/10/16,11/30/16
RUTH,Ruth's Hospitality Group Inc.,17.55,0.28,1.573,11/8/16,11/23/16
RVSB,Riverview Bancorp Inc,7.5,0.08,1.0512,1/6/17,1/24/17
SABR,Sabre Corporation,21.3,0.52,2.4413,12/19/16,12/30/16
SAFM,Sanderson Farms Inc.,95.03,0.96,1.0217,1/27/17,2/14/17
SAFT,Safety Insurance Group Inc.,73.15,2.8,3.8225,11/29/16,12/15/16
SAL,Salisbury Bancorp Inc.,38.5,1.12,2.9091,2/8/17,2/24/17
SALM,Salem Media Group Inc.,6.9,0.26,3.7681,12/15/16,12/30/16
SAMG,Silvercrest Asset Management Group Inc.,14.15,0.48,3.447,12/7/16,12/16/16
SASR,Sandy Spring Bancorp Inc.,43.26,1.04,2.4096,2/7/17,2/15/17
SBBX,Sussex Bancorp,22.7,0.16,0.7064,2/7/17,2/23/17
SBFG,SB Financial Group Inc.,18.3,0.26,1.4069,2/8/17,2/24/17
SBRA,Sabra Healthcare REIT Inc.,25.32,1.68,6.596,2/13/17,2/28/17
SBSI,Southside Bancshares Inc.,35.7,1,2.6763,11/15/16,12/1/16
SBUX,Starbucks Corporation,57.35,1,1.7627,2/7/17,2/24/17
SCHL,Scholastic Corporation,46.63,0.6,1.2848,1/27/17,3/15/17
SCHN,Schnitzer Steel Industries Inc.,26.65,0.75,2.7523,2/2/17,2/21/17
SCVL,Shoe Carnival Inc.,25.32,0.28,1.092,1/5/17,1/23/17
SCZ,iShares Trust,52.91,1.461664,2.7485,12/21/16,12/28/16
SEIC,SEI Investments Company,50.49,0.56,1.1133,12/22/16,1/6/17
SELF,Global Self Storage Inc.,4.59,0.26,5.7269,12/13/16,12/29/16
SFBC,Sound Financial Bancorp Inc.,29.75,0.4,1.3448,2/9/17,2/27/17
SFBS,ServisFirst Bancshares Inc.,41.87,0.16,0.3783,12/29/16,1/13/17
SFNC,Simmons First National Corporation,60.15,0.96,1.5894,12/13/16,1/3/17
SGBK,Stonegate Bank,46.9,0.32,0.6752,12/14/16,12/30/16
SGC,Superior Uniform Group Inc.,17.13,0.35,2.042,2/13/17,3/1/17
SGQI,Janus Detroit Street Trust,26.59,0.456796,1.7179,12/23/16,12/30/16
SHBI,Shore Bancshares Inc,17.32,0.2,1.1547,2/15/17,2/28/17
SHEN,Shenandoah Telecommunications Co,29,0.25,0.8787,11/2/16,12/1/16
SHLM,A. Schulman Inc.,33.75,0.82,2.4405,1/11/17,2/1/17
SIFI,SI Financial Group Inc.,15,0.2,1.3378,2/2/17,2/27/17
SIGI,Selective Insurance Group Inc.,43.55,0.64,1.4562,2/13/17,3/1/17
SIR,Select Income REIT,25.74,2.04,7.9254,1/19/17,2/21/17
SIRI,Sirius XM Holdings Inc.,4.94,0.04,0.8147,2/3/17,2/28/17
SKOR,FlexShares Trust,50.2845,1.172808,2.3335,2/1/17,2/7/17
SKYW,SkyWest Inc.,35.7,0.2,0.5618,12/28/16,1/6/17
SKYY,First Trust Exchange-Traded Fund II,37.77,0.1172,0.3105,12/21/16,12/30/16
SLGN,Silgan Holdings Inc.,60.2,0.68,1.124,11/29/16,12/15/16
SLIM,Janus Detroit Street Trust,22.9001,0.0202,0.0882,12/23/16,12/30/16
SLP,Simulations Plus Inc.,10.1,0.2,1.99,1/26/17,2/6/17
SLQD,iShares Trust,50.39,0.97374,1.9328,2/1/17,2/7/17
SLRC,Solar Capital Ltd.,22.13,1.6,7.2727,12/13/16,1/4/17
SLVO,Credit Suisse AG,9.12,0.8208,8.8927,2/17/17,2/27/17
SMBC,Southern Missouri Bancorp Inc.,36.22,0.4,1.1211,2/13/17,2/28/17
SMMF,Summit Financial Group Inc.,24.5,0.4,1.63,12/13/16,12/30/16
SMRT,Stein Mart Inc.,3.64,0.3,8.1967,12/28/16,1/13/17
SNC,State National Companies Inc.,13,0.24,1.8223,12/14/16,12/30/16
SNH,Senior Housing Properties Trust,19.695,1.56,7.8788,1/19/17,2/21/17
SNHY,Sun Hydraulics Corporation,37.73,0.36,0.9509,12/28/16,1/15/17
SNI,Scripps Networks Interactive Inc,76.04,1,1.297,11/28/16,12/10/16
SNLN,Highland Funds I,18.6,0.818748,4.4066,2/15/17,2/28/17
SNSR,Global X Funds,17.294,0.048677,0.2819,12/28/16,1/6/17
SOCL,Global X Funds,24.49,0.03888,0.1595,12/28/16,1/6/17
SOHO,Sotherly Hotels Inc.,7.44,0.38,5.1351,12/13/16,1/11/17
SONA,Southern National Bancorp of Virginia Inc.,16.74,0.32,1.9048,2/9/17,2/24/17
SONC,Sonic Corp.,26.59,0.56,2.1301,2/6/17,2/17/17
SOXX,iShares Trust,132.27,1.159476,0.8811,12/21/16,12/28/16
SPAN,Span-America Medical Systems Inc.,20.85,0.64,3.052,11/18/16,12/9/16
SPAR,Spartan Motors Inc.,7.45,0.1,1.3333,11/10/16,12/15/16
SPKE,Spark Energy Inc.,24.85,1.45,5.8,11/29/16,12/14/16
SPLS,Staples Inc.,9.31,0.48,5.178,12/19/16,1/12/17
SPOK,Spok Holdings Inc.,19.1,0.5,2.6042,11/16/16,12/9/16
SPTN,SpartanNash Company,38.71,0.6,1.5424,12/7/16,12/30/16
SRCE,1st Source Corporation,46.8,0.72,1.5514,2/2/17,2/15/17
SRET,Global X Funds,14.795,1.122,7.5302,2/1/17,2/10/17
SSB,South State Corporation,90.45,1.32,1.4675,2/15/17,2/24/17
SSBI,Summit State Bank,17.51,0.48,2.7042,2/15/17,2/24/17
SSFN,Stewardship Financial Corp,9.75,0.12,1.2903,1/30/17,2/15/17
SSNC,SS&C Technologies Holdings Inc.,35.43,0.25,0.7072,11/29/16,12/15/16
STB,Student Transportation Inc,5.54,0.44004,7.816,1/27/17,2/15/17
STBA,S&T Bancorp Inc.,37.13,0.8,2.1494,2/7/17,2/23/17
STBZ,State Bank Financial Corporation.,27.43,0.56,2.049,12/1/16,12/13/16
STFC,State Auto Financial Corporation,26,0.4,1.5528,12/7/16,12/30/16
STLD,Steel Dynamics Inc.,37.16,0.56,1.4981,12/28/16,1/13/17
STRT,Strattec Security Corporation,29.6,0.56,1.8035,12/14/16,12/30/16
SUNS,Solar Senior Capital Ltd.,17.34,1.41,8.1739,1/17/17,2/1/17
SWKS,Skyworks Solutions Inc.,96.35,1.12,1.2117,1/31/17,2/23/17
SYBT,Stock Yards Bancorp Inc.,45.2,0.76,1.6759,12/8/16,12/30/16
SYMC,Symantec Corporation,28.8,0.3,1.0537,2/15/17,3/15/17
TACT,TransAct Technologies Incorporated,7.1,0.32,4.6377,2/15/17,3/15/17
TAIT,Taitron Components Incorporated,1.18,0.1,8.6185,2/9/17,2/28/17
TAX,Liberty Tax Inc.,15,0.64,4.2953,1/10/17,1/23/17
TBNK,Territorial Bancorp Inc.,33.55,0.8,2.3916,2/7/17,2/23/17
TCBK,TriCo Bancshares,37.21,0.6,1.6112,12/13/16,12/30/16
TCFC,The Community Financial Corporation,31.8577,0.4,1.2531,1/3/17,1/20/17
TCPC,TCP Capital Corp.,17.24,1.44,8.3624,12/14/16,12/30/16
TCRD,THL Credit Inc.,10.4,1.08,10.3547,12/13/16,12/30/16
TDIV,First Trust Exchange-Traded Fund VI,31.65,0.5804,1.835,12/21/16,12/30/16
TECH,Bio-Techne Corp,105.24,1.28,1.2189,11/9/16,11/28/16
TESS,TESSCO Technologies Incorporated,13.9,0.8,5.6738,2/13/17,3/1/17
TFSL,TFS Financial Corporation,17.39,0.5,2.8637,11/25/16,12/12/16
THFF,First Financial Corporation Indiana,46.95,1,2.1119,1/4/17,1/13/17
TILE,Interface Inc.,17.75,0.24,1.3445,11/8/16,11/25/16
TIPT,Tiptree Inc.,6.45,0.1,1.5625,11/17/16,11/28/16
TLT,iShares Trust,120.32,3.109908,2.6,2/1/17,2/7/17
TOWN,Towne Bank,33.05,0.52,1.5758,12/28/16,1/12/17
TRMK,Trustmark Corporation,34.24,0.92,2.6869,11/29/16,12/15/16
TROW,T. Rowe Price Group Inc.,71.1,2.16,3.0286,12/13/16,12/29/16
TRST,TrustCo Bank Corp NY,8.5,0.2625,3.125,11/30/16,1/3/17
TSBK,Timberland Bancorp Inc.,22.01,0.44,1.9946,2/9/17,2/27/17
TSCO,Tractor Supply Company,72.18,0.96,1.355,11/9/16,11/29/16
TSRA,Tessera Holding Corporation ,43.95,0.8,1.8018,11/7/16,11/23/16
TTEK,Tetra Tech Inc.,42.35,0.36,0.8471,2/15/17,3/3/17
TUSA,First Trust Exchange-Traded Fund,29.1126,0.5844,2.0082,12/21/16,12/30/16
TUTI,ETFIS Series Trust I,22.71,0.2923,1.2877,12/20/16,12/28/16
TUTT,ETFIS Series Trust I,22.15,0.10031,0.4531,12/20/16,12/28/16
TXN,Texas Instruments Incorporated,76.44,2,2.623,1/27/17,2/13/17
TXRH,Texas Roadhouse Inc.,48.24,0.76,1.5797,12/12/16,12/30/16
TYPE,Monotype Imaging Holdings Inc.,21.4,0.44,1.8644,12/28/16,1/20/17
UAE,iShares Trust,17.48,0.329546,1.9126,12/21/16,12/28/16
UBCP,United Bancorp Inc.,12.6,0.44,3.4783,12/7/16,
UBND,WisdomTree Trust,49.9599,1.44,2.8731,2/17/17,2/24/17
UBNK,United Financial Bancorp Inc. ,18.41,0.48,2.613,2/1/17,2/15/17
UBOH,United Bancshares Inc.,23.0044,0.44,1.8884,11/28/16,12/15/16
UBSH,Union Bankshares Corporation,37.18,0.8,2.1592,2/8/17,2/24/17
UBSI,United Bankshares Inc.,45.05,1.32,2.9301,12/7/16,1/3/17
UCBA,United Community Bancorp,17.3,0.24,1.3966,11/21/16,12/9/16
UCBI,United Community Banks Inc.,29.12,0.32,1.1034,12/13/16,1/5/17
UCFC,United Community Financial Corp.,8.9,0.12,1.359,2/8/17,2/22/17
UDBI,Legg Mason ETF Investment Trust,28.24,0.557693,1.9686,12/23/16,12/30/16
UFCS,United Fire Group Inc,41.32,1,2.3452,11/29/16,12/15/16
UFPI,Universal Forest Products Inc.,104.69,0.9,0.8468,11/29/16,12/15/16
UG,United-Guardian Inc.,15,0.8,5.3872,12/8/16,12/19/16
UIHC,United Insurance Holdings Corp.,15.95,0.24,1.5056,11/21/16,11/30/16
ULH,Universal Logistics Holdings Inc.,13.1,0.28,2.0896,11/3/16,11/17/16
UMBF,UMB Financial Corporation,80.1,1.02,1.2787,12/7/16,1/3/17
UMPQ,Umpqua Holdings Corporation,18.88,0.64,3.3702,12/28/16,1/13/17
UNB,Union Bankshares Inc.,42,1.16,2.8087,1/25/17,2/8/17
UNTY,Unity Bancorp Inc.,17,0.2,1.194,12/14/16,12/30/16
USLB,PowerShares Exchange-Traded Fund Trust II,28.07,0.68172,2.4286,12/16/16,12/30/16
USLM,United States Lime & Minerals Inc.,76.35,0.5,0.6555,11/22/16,12/16/16
UTMD,Utah Medical Products Inc.,63.4,1.06,1.7477,12/14/16,12/30/16
UVSP,Univest Corporation of Pennsylvania,28.9,0.8,2.8169,12/5/16,1/2/17
VALU,Value Line Inc.,17.86,0.68,3.7946,1/26/17,2/10/17
VALX,ETF Series Solutions Trust,26.77,0.223202,0.8357,12/28/16,1/3/17
VBND,ETF Series Solutions Trust,49.09,4.58189,9.3451,12/23/16,12/29/16
VCIT,Vanguard Scottsdale Funds,86.2,2.388,2.7764,2/1/17,2/7/17
VCLT,Vanguard Scottsdale Funds,89.88,3.24,3.6185,2/1/17,2/7/17
VCSH,Vanguard Scottsdale Funds,79.7,1.428,1.7924,2/1/17,2/7/17
VGIT,Vanguard Scottsdale Funds,64.22,0.864,1.3481,2/1/17,2/7/17
VGLT,Vanguard Scottsdale Funds,74.34,1.788,2.4201,2/1/17,2/7/17
VGSH,Vanguard Scottsdale Funds,60.81,0.384,0.6318,2/1/17,2/7/17
VIA,Viacom Inc.,47,0.8,1.6949,12/13/16,1/3/17
VIAB,Viacom Inc.,43.99,0.8,1.8116,12/13/16,1/3/17
VIDI,ETF Series Solutions Trust,23.44,0.844655,3.5892,12/23/16,12/29/16
VIGI,Vanguard Whitehall Funds,56.07,0.68,1.2147,12/20/16,12/27/16
VIRT,Virtu Financial Inc.,18.8,0.96,5.12,11/29/16,12/15/16
VIVO,Meridian Bioscience Inc.,12.75,0.5,3.9216,2/2/17,2/16/17
VLGEA,Village Super Market Inc.,30.38,1,3.2884,1/3/17,1/26/17
VMBS,Vanguard Scottsdale Funds,52.42,0.864,1.6492,2/1/17,2/7/17
VNOM,Viper Energy Partners LP,17.61,1.032,5.788,2/15/17,2/24/17
VNQI,Vanguard International Equity Index Funds,52.43,6.524,12.4148,12/20/16,12/27/16
VONE,Vanguard Scottsdale Funds,108.07,2.348,2.1755,12/14/16,12/20/16
VONG,Vanguard Scottsdale Funds,115.12,1.768,1.5397,12/14/16,12/20/16
VONV,Vanguard Scottsdale Funds,101.39,3.096,3.056,12/14/16,12/20/16
VRIG,PowerShares Actively Managed Exchange-Traded Fund Trust,25.09,0.57972,2.3087,2/15/17,2/28/17
VRTS,Virtus Investment Partners Inc.,110.9,1.8,1.6194,1/27/17,2/10/17
VSEC,VSE Corporation,40.82,0.24,0.5897,1/30/17,2/15/17
VTHR,Vanguard Scottsdale Funds,108.2767,2.308,2.1337,12/14/16,12/20/16
VTIP,Vanguard Malvern Funds,49.37,1.496,3.032,12/14/16,12/20/16
VTWG,Vanguard Scottsdale Funds,117.15,1.296,1.1094,12/14/16,12/20/16
VTWO,Vanguard Scottsdale Funds,111.46,2.024,1.8149,12/14/16,12/20/16
VTWV,Vanguard Scottsdale Funds,104.81,2.536,2.4136,12/14/16,12/20/16
VUSE,ETF Series Solutions Trust,29.97,0.430363,1.4312,12/23/16,12/29/16
VWOB,Vanguard Whitehall Funds,79.15,3.276,4.1358,2/1/17,2/7/17
VXUS,Vanguard STAR Funds,48.65,1.56,3.1928,12/20/16,12/27/16
VYMI,Vanguard Whitehall Funds,59.73,1.352,2.2537,12/22/16,12/29/16
WABC,Westamerica Bancorporation,57.92,1.56,2.686,2/2/17,2/17/17
WAFD,Washington Federal Inc.,34.7,0.6,1.6279,1/30/17,2/10/17
WASH,Washington Trust Bancorp Inc.,55.6,1.48,2.6667,12/28/16,1/13/17
WAYN,Wayne Savings Bancshares Inc.,18.3,0.36,1.9282,1/9/17,1/25/17
WBA,Walgreens Boots Alliance Inc.,85.86,1.5,1.7513,2/13/17,3/10/17
WBKC,Wolverine Bancorp Inc.,34.269,1.6,4.6689,12/27/16,1/11/17
WCFB,WCF Bancorp Inc.,9.908,0.2,2.0408,1/30/17,2/16/17
WDC,Western Digital Corporation,74.91,2,2.6333,12/28/16,1/17/17
WDFC,WD-40 Company,110.8,1.96,1.761,1/18/17,1/31/17
WEBK,Wellesley Bancorp Inc.,27.1,0.16,0.5715,12/5/16,12/21/16
WEN,Wendy's Company (The),14.13,0.26,1.8992,11/29/16,12/15/16
WERN,Werner Enterprises Inc.,27.85,0.24,0.8602,12/29/16,1/17/17
WETF,WisdomTree Investments Inc.,9.05,0.32,3.6364,2/13/17,3/1/17
WEYS,Weyco Group Inc.,28.16,0.84,3,12/1/16,1/2/17
WFBI,WashingtonFirst Bankshares Inc,28.44,0.28,0.9894,12/9/16,
WFM,Whole Foods Market Inc.,30.91,0.56,1.8325,1/11/17,1/24/17
WHF,WhiteHorse Finance Inc.,12.93,1.42,10.9737,12/16/16,1/3/17
WHLR,Wheeler Real Estate Investment Trust Inc.,1.7,0.21,12.426,1/27/17,2/28/17
WILN,Wi-LAN Inc,1.91,0.038085,1.994,12/13/16,1/4/17
WIN,Windstream Holdings Inc.,7.05,0.6,8.547,12/28/16,1/17/17
WINA,Winmark Corporation,112.3,0.4,0.354,2/6/17,3/1/17
WIRE,Encore Wire Corporation,47.85,0.08,0.1829,1/4/17,1/20/17
WNEB,Western New England Bancorp Inc.,9.6,0.12,1.2435,2/14/17,3/2/17
WOOD,iShares Trust,56.6,0.503622,0.8893,12/22/16,12/29/16
WSBC,WesBanco Inc.,41.04,0.96,2.3301,12/7/16,1/2/17
WSBF,Waterstone Financial Inc.,19.2,0.48,2.5,1/6/17,2/2/17
WSFS,WSFS Financial Corporation,46.05,0.28,0.6094,2/8/17,2/24/17
WSTC,West Corporation,24.28,0.9,3.7113,2/16/17,3/2/17
WSTG,Wayside Technology Group Inc.,17.9,0.68,3.7989,2/14/17,2/27/17
WTBA,West Bancorporation,23.1,0.68,2.9247,2/6/17,2/22/17
WTFC,Wintrust Financial Corporation,75.34,0.56,0.7407,2/7/17,2/23/17
WVFC,WVS Financial Corp.,15.1056,0.24,1.5585,2/9/17,2/23/17
WWD,Woodward Inc.,70.38,0.5,0.7121,2/15/17,3/6/17
WYNN,Wynn Resorts Limited,95.91,2,2.0678,2/10/17,2/28/17
XLNX,Xilinx Inc.,60.06,1.32,2.2144,2/6/17,2/23/17
XRAY,DENTSPLY SIRONA Inc.,62.68,0.31,0.5104,12/28/16,1/13/17
YDIV,First Trust Exchange-Traded Fund VI,17.1163,0.12,0.7088,1/20/17,1/31/17
YLCO,Global X Funds,11.27,0.5,4.4802,2/7/17,2/16/17
YORW,The York Water Company,34.85,0.6408,1.8387,12/28/16,1/17/17
ZEUS,Olympic Steel Inc.,25.19,0.08,0.3176,11/29/16,12/15/16
ZION,Zions Bancorporation,44.65,0.32,0.7127,2/14/17,2/23/17